term,cf,df,offset
condemn,5,4,20163
condemnation,7,6,20167
condemned,15,12,20173
condemning,8,8,20185
condition,35,28,20193
conditional,1,1,20221
conditioned,1,1,20222
condo,5,1,20223
condolence,4,4,20224
condominium,5,3,20228
condone,1,1,20231
condoned,3,3,20232
condor,5,4,20235
conduct,11,10,20239
conducted,11,10,20249
conducting,4,4,20259
conduit,1,1,20263
confer,2,2,20264
conferee,1,1,20266
conference,31,22,20267
confess,3,3,20289
confessed,2,2,20292
confidence,32,25,20294
confident,5,5,20319
confined,1,1,20324
confinement,3,3,20325
confirm,12,11,20328
confirmation,7,7,20339
confirmed,13,13,20346
confirming,3,3,20359
confiscated,1,1,20362
conflict,22,21,20363
conflicted,1,1,20384
conflicting,3,3,20385
conform,2,2,20388
confront,2,2,20390
confrontation,15,9,20392
confronted,2,2,20401
confuse,2,2,20403
confused,5,5,20405
confusion,5,5,20410
conglomerate,1,1,20415
congo,2,2,20416
congratulated,2,2,20418
congratulation,1,1,20420
congregate,2,2,20421
congregation,3,3,20423
congress,136,45,20426
congressional,26,15,20471
congressman,11,7,20486
conlin,3,2,20493
conn,8,6,20495
connected,2,2,20501
connecticut,2,2,20503
connecting,1,1,20505
connection,15,10,20506
connelly,2,2,20516
connie,1,1,20518
conquistador,1,1,20519
conscience,3,3,20520
conscientious,2,1,20523
conscious,2,2,20524
consciousness,3,3,20526
consensus,5,5,20529
consent,4,3,20534
consequence,4,4,20537
consequently,1,1,20541
conservation,2,2,20542
conservative,53,26,20544
conserve,2,2,20570
consider,41,38,20572
considerable,12,11,20610
considerably,3,3,20621
consideration,5,5,20624
considered,30,24,20629
considering,4,4,20653
consisted,3,3,20657
consistent,2,2,20660
consistently,10,8,20662
consolation,2,2,20670
consolidate,1,1,20672
consolidated,1,1,20673
consolingly,1,1,20674
consortium,2,2,20675
conspicuously,1,1,20677
conspiracy,10,7,20678
conspire,3,3,20685
conspired,1,1,20688
conspiring,9,9,20689
constand,1,1,20698
constant,2,2,20699
constanta,1,1,20701
constantly,3,3,20702
constellation,7,7,20705
constituency,1,1,20712
constituent,2,1,20713
constitute,2,2,20714
constituted,1,1,20716
constitution,19,17,20717
constitutional,6,4,20734
constitutionally,1,1,20738
construct,2,2,20739
constructed,1,1,20741
construction,8,7,20742
constructive,6,6,20749
constructively,1,1,20755
consulate,2,2,20756
consult,4,3,20758
consultant,14,8,20761
consultation,2,2,20769
consultative,1,1,20771
consulted,2,2,20772
consulting,2,2,20774
consume,1,1,20776
consumed,1,1,20777
consumer,14,8,20778
consumerism,1,1,20786
consuming,1,1,20787
consumption,1,1,20788
contact,17,12,20789
contacted,2,2,20801
contagion,2,1,20803
contain,12,9,20804
contained,2,2,20813
containing,2,2,20815
contempt,4,4,20817
contend,8,7,20821
contended,1,1,20828
contender,3,3,20829
content,1,1,20832
contention,8,7,20833
contentious,5,4,20840
contest,12,6,20844
contestant,1,1,20850
contested,4,2,20851
context,4,4,20853
contingency,3,3,20857
contingent,2,2,20860
continual,5,5,20862
continually,1,1,20867
continue,41,38,20868
continued,20,19,20906
continuing,20,17,20925
contra,1,1,20942
contraband,1,1,20943
contraception,1,1,20944
contraceptive,5,3,20945
contract,8,5,20948
contracted,1,1,20953
contraction,2,1,20954
contractor,1,1,20955
contradiction,1,1,20956
contradictory,1,1,20957
contrail,1,1,20958
contrary,2,2,20959
contrast,8,7,20961
contrasted,1,1,20968
contribute,1,1,20969
contributed,1,1,20970
contributing,2,2,20971
contribution,5,5,20973
contriving,1,1,20978
control,82,59,20979
controlled,14,10,21038
controller,1,1,21048
controlling,1,1,21049
controversial,17,13,21050
controversy,9,7,21063
convene,7,7,21070
convened,1,1,21077
convenience,2,2,21078
convening,1,1,21080
convention,7,6,21081
conventional,5,4,21087
converged,1,1,21091
conversation,4,4,21092
conversion,2,2,21096
convert,1,1,21098
converting,1,1,21099
convey,1,1,21100
conveyed,6,6,21101
conveyor,1,1,21107
convict,1,1,21108
convicted,20,14,21109
conviction,11,10,21123
convince,2,2,21133
convinced,3,3,21135
convincing,2,2,21138
conyer,3,3,21140
cook,9,5,21143
cooking,6,1,21148
cookingoi,1,1,21149
cool,3,3,21150
cooler,2,2,21153
coolly,2,2,21155
cooperate,13,12,21157
cooperated,2,2,21169
cooperating,3,3,21171
cooperation,22,19,21174
cooperative,3,3,21193
coordinate,1,1,21196
coordinated,7,7,21197
coordination,2,2,21204
coordinator,2,2,21206
copan,1,1,21208
cope,2,2,21209
copied,1,1,21211
copra,5,1,21212
copter,2,2,21213
copy,6,5,21215
corazon,1,1,21220
corbyn,1,1,21221
corder,1,1,21222
core,3,3,21223
corn,1,1,21226
corner,6,6,21227
corp,40,25,21233
corporate,7,6,21258
corporation,5,5,21264
corpse,4,4,21269
correct,13,12,21273
correctional,1,1,21285
correctly,8,4,21286
correia,2,1,21290
correspond,2,2,21291
correspondent,1,1,21293
corridor,1,1,21294
corrigan,1,1,21295
corruption,14,11,21296
corte,1,1,21307
cosson,6,3,21308
cost,38,25,21311
costly,1,1,21336
cottony,1,1,21337
couched,1,1,21338
could,284,138,21339
couldnt,5,5,21477
council,56,32,21482
councilor,1,1,21514
counsel,11,9,21515
counseled,1,1,21524
counseling,4,2,21525
count,9,6,21527
counted,8,8,21533
counter,10,9,21541
counterbalanced,1,1,21550
counterdemonstrator,1,1,21551
counterinsurgency,1,1,21552
counterpar,2,2,21553
counterpart,7,7,21555
counting,5,3,21562
country,258,134,21565
countrymen,5,5,21699
countryside,4,4,21704
county,6,4,21708
coup,6,6,21712
couple,4,3,21718
courage,4,3,21721
courageous,4,4,21724
course,24,15,21728
court,97,43,21743
courtesy,1,1,21786
courthouse,1,1,21787
courtroom,1,1,21788
cousin,5,3,21789
cova,5,2,21792
cove,2,2,21794
covenant,5,4,21796
cover,20,19,21800
coverage,8,5,21819
covered,10,9,21824
covering,5,5,21833
covert,2,1,21838
cowardly,1,1,21839
cowell,1,1,21840
cph,4,4,21841
cpt,4,2,21845
crack,8,8,21847
crackdown,17,14,21855
cracking,1,1,21869
cradling,1,1,21870
craft,1,1,21871
crafted,1,1,21872
craggy,1,1,21873
crain,1,1,21874
cramped,1,1,21875
crane,2,2,21876
crapshoot,2,2,21878
crary,2,2,21880
crash,51,12,21882
crash0191,1,1,21894
crash0316,1,1,21895
crash0483,1,1,21896
crash0489,1,1,21897
crashe,2,2,21898
crashed,10,8,21900
crashing,1,1,21908
crass,1,1,21909
crater,2,2,21910
crawled,2,2,21912
crazy,1,1,21914
cream,4,4,21915
create,10,10,21919
created,7,7,21929
creating,9,9,21936
creativity,1,1,21945
credential,2,2,21946
credibility,4,4,21948
credible,1,1,21952
credit,12,9,21953
creditor,3,2,21962
creek,3,3,21964
creeping,1,1,21967
crestech,2,2,21968
crew,11,11,21970
crime,119,46,21981
crimes0343,1,1,22027
criminal,48,37,22028
criminality,1,1,22065
criminalize,1,1,22066
cripple,2,2,22067
crippled,4,4,22069
crippling,2,2,22073
crise,1,1,22075
crisi,69,42,22076
criteria,3,3,22118
critic,10,8,22121
critical,10,10,22129
criticism,18,17,22139
criticize,2,2,22156
criticized,12,11,22158
criticizing,1,1,22169
critique,1,1,22170
croat,27,10,22171
croatia,102,11,22181
croatian,29,10,22192
croix,3,2,22202
crony,1,1,22204
crop,7,6,22205
cross,19,15,22211
crosse,1,1,22226
crossed,4,4,22227
crossette,1,1,22231
crossing,11,9,22232
crowd,24,17,22241
crowded,21,16,22258
crowed,1,1,22274
crown,2,2,22275
crowne,1,1,22277
crucial,11,9,22278
crucible,4,4,22287
cruel,2,2,22291
cruise,18,6,22293
cruising,2,2,22299
crumpled,1,1,22301
crusade,2,2,22302
crush,3,3,22304
crushed,3,3,22307
crushing,2,2,22310
crutsinger,1,1,22312
cruz,1,1,22313
crying,2,1,22314
crystal,2,2,22315
ct,10,10,22317
ctf,8,8,22327
cti,153,153,22335
ctm,2,2,22488
ctv,1,1,22490
cuadra,1,1,22491
cuba,8,6,22492
cuban,1,1,22498
cuisenier,5,1,22499
culminate,1,1,22500
culminated,1,1,22501
cultural,3,3,22502
culture,3,3,22505
cumberland,2,2,22508
cumhuriyet,1,1,22510
cuomo,2,1,22511
cup,3,2,22512
curacao,1,1,22514
curator,1,1,22515
curb,9,9,22516
curbed,2,2,22525
curious,1,1,22527
currency,20,17,22528
current,35,31,22545
currently,10,9,22576
currie,1,1,22585
cury,1,1,22586
custody,7,6,22587
custom,5,5,22593
customarily,3,3,22598
customary,2,2,22601
customer,10,6,22603
cusumano,3,2,22609
cut,66,37,22611
cutback,4,4,22648
cutting,6,6,22652
cx11,298,298,22658
cx13,298,298,22956
cx1f,298,298,23254
cycle,4,4,23552
cynical,2,2,23556
cynthia,1,1,23558
cyprus,8,5,23559
czestochowa,1,1,23564
da,36,16,23565
dad,2,2,23581
daffaire,1,1,23583
dagen,1,1,23584
dagestan,3,2,23585
dagupan,1,1,23587
dahanieh,2,2,23588
dahayneh,1,1,23590
daily,21,16,23591
dakota,2,2,23607
dalema,2,1,23609
daley,5,5,23610
dalizu,2,1,23615
dalla,2,2,23616
dalmatian,2,2,23618
dalvo,2,2,23620
dam,4,4,23622
damage,68,28,23626
damaged,16,11,23654
damaging,9,7,23665
damascus,24,12,23672
damato,69,4,23684
damn,1,1,23688
damp,4,4,23689
dampen,2,2,23693
damrosch,1,1,23695
dan,9,9,23696
dance,36,11,23705
danced,4,4,23716
dancer,6,4,23720
dancing,7,5,23724
danger,8,8,23729
dangerous,9,9,23737
dangerously,1,1,23746
dangled,2,2,23747
dangling,1,1,23749
daniel,3,3,23750
danny,1,1,23753
dao,1,1,23754
daoud,3,3,23755
dar,6,4,23758
daring,2,2,23762
dark,10,8,23764
darker,2,2,23772
darkest,4,4,23774
darkness,3,3,23778
darrel,1,1,23781
darren,7,6,23782
darusman,1,1,23788
data,9,7,23789
datafolha,3,3,23796
date,24,21,23799
dating,1,1,23820
daughter,15,12,23821
daunting,2,2,23833
david,30,26,23835
davila,5,2,23861
davy,1,1,23863
dawn,5,4,23864
day,185,112,23868
daylight,4,4,23980
dayton,2,2,23984
dazed,1,1,23986
dazzled,1,1,23987
dazzling,3,3,23988
dc,1,1,23991
de,64,22,23992
dead,44,34,24014
deadliest,3,3,24048
deadline,8,4,24051
deadlock,2,2,24055
deadly,6,6,24057
deal,75,43,24063
dealing,17,16,24106
dealt,4,4,24122
dearly,1,1,24126
death,121,60,24127
deaths0128,2,2,24187
deathtrap,3,3,24189
debacle,1,1,24192
debate,41,21,24193
debated,4,4,24214
debating,3,2,24218
debin,1,1,24220
deborah,3,3,24221
debri,22,14,24224
debt,29,17,24238
debut,1,1,24255
dec,16,12,24256
decade,12,11,24268
decameron,1,1,24279
decapitated,1,1,24280
deceiving,1,1,24281
december,14,10,24282
decide,12,11,24292
decided,22,21,24303
decidedly,2,2,24324
deciding,1,1,24326
decision,45,31,24327
decisive,8,8,24358
deck,1,1,24366
declaration,2,2,24367
declare,7,7,24369
declared,25,23,24376
declaring,4,4,24399
decline,1,1,24403
declined,36,32,24404
declining,2,2,24436
decorated,3,3,24438
decreased,1,1,24441
decree,3,2,24442
decrepit,2,2,24444
decried,1,1,24446
dedicated,1,1,24447
deduct,1,1,24448
deductible,14,2,24449
deed,1,1,24451
deem,3,3,24452
deemed,5,4,24455
deep,13,11,24459
deepen,4,4,24470
deepening,1,1,24474
deeper,4,4,24475
deepest,1,1,24479
deeply,17,16,24480
default,3,3,24496
defaulted,2,1,24499
defeat,7,7,24500
defeated,5,5,24507
defeating,1,1,24512
defected,1,1,24513
defection,1,1,24514
defend,14,13,24515
defendan,1,1,24528
defendant,23,10,24529
defended,10,10,24539
defender,1,1,24549
defending,1,1,24550
defense,57,41,24551
defensive,1,1,24592
defiance,5,5,24593
defiant,3,2,24598
defiantly,1,1,24600
deficiency,2,2,24601
deficit,24,16,24603
defied,3,3,24619
define,4,4,24622
defined,2,2,24626
definite,2,2,24628
definitely,6,6,24630
deflect,5,5,24636
defund,2,2,24641
defuse,4,4,24643
defused,1,1,24647
defusing,1,1,24648
defy,1,1,24649
degrade,1,1,24650
degree,15,12,24651
del,5,2,24663
delahunt,1,1,24665
delalic,1,1,24666
delay,23,20,24667
delayed,15,13,24687
delaying,9,7,24700
delegate,3,3,24707
delegation,8,6,24710
delete,2,2,24716
deleted,2,2,24718
delfim,1,1,24720
deliaj,1,1,24721
deliberate,2,1,24722
deliberately,3,3,24723
deliberation,3,3,24726
delic,1,1,24729
delicate,3,3,24730
delight,4,4,24733
deliver,4,4,24737
delivered,15,13,24741
delivery,1,1,24754
delta,2,2,24755
deluged,2,2,24757
dem,3,2,24759
demand,30,27,24761
demanded,16,14,24788
demanding,9,9,24802
demeaning,1,1,24811
demirel,25,13,24812
democracy,48,21,24825
democrat,87,18,24846
democratic,69,27,24864
democratically,1,1,24891
demographic,1,1,24892
demon,1,1,24893
demonize,1,1,24894
demonstrate,2,2,24895
demonstrated,2,2,24897
demonstrating,3,3,24899
demonstration,9,9,24902
demonstrator,5,5,24911
demoralized,2,2,24916
demosthene,1,1,24918
den,2,2,24919
denali,2,2,24921
deng,1,1,24923
denial,2,2,24924
denied,25,24,24926
deniz,1,1,24950
denni,2,2,24951
denounce,1,1,24953
denounced,11,11,24954
denouncing,3,3,24965
dense,6,4,24968
density,2,2,24972
denuding,1,1,24974
denver,1,1,24975
deny,15,14,24976
denying,2,2,24990
depart,4,4,24992
departed,2,2,24996
departing,2,2,24998
department,77,38,25000
departure,13,10,25038
depend,5,5,25048
dependence,1,1,25053
dependent,4,4,25054
depending,6,6,25058
depict,1,1,25064
depleted,3,3,25065
depleting,1,1,25068
deplored,2,2,25069
deployed,3,3,25071
deploying,2,2,25074
deployment,4,3,25076
deport,10,2,25079
deported,2,2,25081
deportment,2,2,25083
deposed,1,1,25085
deposited,1,1,25086
deposition,5,3,25087
depraved,1,1,25090
depreciation,2,2,25091
depredation,1,1,25093
depressed,1,1,25094
deprived,1,1,25095
depriving,1,1,25096
deputy,29,26,25097
der,4,3,25123
derail,3,2,25126
derek,1,1,25128
dereliction,1,1,25129
derived,1,1,25130
dern,1,1,25131
descended,8,8,25132
describe,2,2,25140
described,26,25,25142
describing,9,9,25167
desert,8,6,25176
deserted,2,2,25182
deserter,3,3,25184
deserved,1,1,25187
design,3,3,25188
designate,6,6,25191
designated,2,2,25197
designation,1,1,25199
designator,1,1,25200
designed,7,7,25201
designer,1,1,25208
designing,1,1,25209
desire,10,6,25210
desired,1,1,25216
desk,4,2,25217
desku,2,2,25219
desmond,5,5,25221
despair,2,2,25226
desperate,2,2,25228
desperately,1,1,25230
desperation,1,1,25231
despicable,2,2,25232
despite,34,32,25234
despot,1,1,25266
despotism,1,1,25267
destination,6,3,25268
destiny,1,1,25271
destroy,4,4,25272
destroyed,13,10,25276
destroying,1,1,25286
destruction,12,11,25287
destructive,6,6,25298
detached,1,1,25304
detail,48,41,25305
detailed,13,12,25346
detailing,1,1,25358
detain,2,2,25359
detained,26,17,25361
detainee,2,2,25378
detect,4,4,25380
detected,9,5,25384
detecting,2,2,25389
detection,1,1,25391
detective,4,3,25392
detention,11,8,25395
deteriorated,2,2,25403
deteriorating,1,1,25405
deterioration,1,1,25406
determination,3,3,25407
determine,12,11,25410
determined,22,20,25421
detonate,2,2,25441
detour,2,2,25443
detrimental,1,1,25445
detroit,1,1,25446
devaluation,3,3,25447
devalued,2,2,25450
devastated,7,7,25452
devastating,14,14,25459
develop,13,10,25473
developed,8,6,25483
developer,3,3,25489
developing,9,7,25492
development,29,22,25499
device,5,3,25521
devil,1,1,25524
devised,1,1,25525
devolved,1,1,25526
devoted,3,2,25527
devotion,2,2,25529
dg,1,1,25531
dhahran,3,3,25532
dhanraj,1,1,25535
dhillon,1,1,25536
dia,2,1,25537
dialed,1,1,25538
dialogue,2,2,25539
diameter,1,1,25541
diamond,1,1,25542
diana,10,10,25543
diane,1,1,25553
dianne,1,1,25554
dick,7,7,25555
dictate,1,1,25562
dictator,21,15,25563
dictatorial,1,1,25578
dictatorship,9,9,25579
dictionary,1,1,25588
did,131,87,25589
didnt,36,30,25676
die,6,6,25706
died,80,55,25712
diet,1,1,25767
differ,2,2,25768
difference,27,19,25770
different,35,24,25789
differential,2,2,25813
differentiate,1,1,25815
difficult,14,13,25816
difficulty,20,17,25829
digit,4,3,25846
digital,6,6,25849
dignitary,2,2,25855
dignity,2,2,25857
dili,10,5,25859
dilip,1,1,25864
diluted,2,2,25865
dim,2,2,25867
dimension,2,2,25869
diminish,3,3,25871
diminished,2,2,25874
diminishing,3,3,25876
diminutive,2,2,25879
dimmer,1,1,25881
dini,2,2,25882
dinner,4,3,25884
diode,1,1,25887
dipirro,1,1,25888
diplomacy,1,1,25889
diplomat,29,16,25890
diplomatic,41,19,25906
dipping,2,2,25925
dire,2,2,25927
direct,18,18,25929
directed,2,2,25947
directing,2,2,25949
direction,19,17,25951
directly,22,21,25968
director,33,29,25989
dirt,1,1,26018
disabled,2,2,26019
disabling,2,2,26021
disaffected,3,3,26023
disagree,4,3,26026
disagreed,4,4,26029
disagreement,4,4,26033
disappearance,9,6,26037
disappeared,11,6,26043
disappointed,5,5,26049
disappointing,4,4,26054
disapprove,1,1,26058
disarray,1,1,26059
disassociate,1,1,26060
disaster,28,20,26061
disbanded,1,1,26081
disbelief,1,1,26082
disc,10,10,26083
discarded,1,1,26093
discipline,6,6,26094
disclose,2,2,26100
disclosed,2,2,26102
disclosure,2,2,26104
disco,3,2,26106
discomfort,1,1,26108
disconcerting,1,1,26109
disconnect,3,3,26110
disconnected,1,1,26113
discontent,1,1,26114
discotheque,3,1,26115
discounted,1,1,26116
discouraged,1,1,26117
discourse,1,1,26118
discovered,5,5,26119
discovering,1,1,26124
discovery,1,1,26125
discrepency,1,1,26126
discretion,3,2,26127
discretionary,3,1,26129
discriminating,1,1,26130
discrimination,6,3,26131
discuss,20,17,26134
discussed,14,11,26151
discussing,3,3,26162
discussion,29,19,26165
disease,1,1,26184
disembodied,1,1,26185
disentangle,2,2,26186
disfigured,2,2,26188
disgorging,1,1,26190
disgust,2,2,26191
dish,2,2,26193
disk,2,2,26195
diskette,2,2,26197
dismal,1,1,26199
dismantle,1,1,26200
dismantling,1,1,26201
dismembered,2,2,26202
dismiss,2,2,26204
dismissal,1,1,26206
dismissed,5,5,26207
dismissively,1,1,26212
disobey,1,1,26213
disorder,3,3,26214
disorganization,1,1,26217
disparity,1,1,26218
dispatched,1,1,26219
dispersed,1,1,26220
dispirited,2,1,26221
display,13,9,26222
displayed,3,1,26231
displaying,1,1,26232
disposal,1,1,26233
dispose,1,1,26234
dispute,35,27,26235
disputed,10,9,26262
disqualified,1,1,26271
disquiet,1,1,26272
disregard,1,1,26273
disrespect,2,2,26274
disrupted,3,3,26276
disrupting,1,1,26279
disruption,1,1,26280
dissatisfaction,1,1,26281
dissatisfied,1,1,26282
dissent,6,3,26283
dissented,1,1,26286
dissident,81,18,26287
distance,9,9,26305
distanced,1,1,26314
distant,4,4,26315
distinct,2,2,26319
distinction,1,1,26321
distract,3,2,26322
distracting,2,2,26324
distraction,1,1,26326
distress,3,2,26327
distressed,1,1,26329
distribute,1,1,26330
distributed,2,2,26331
distributing,4,4,26333
distribution,8,7,26337
district,17,15,26344
disturbance,1,1,26359
disturbed,1,1,26360
disturbing,2,2,26361
ditore,2,2,26363
ditton,1,1,26365
div,3,3,26366
diver,13,5,26369
diversion,1,1,26374
divert,1,1,26375
diverting,1,1,26376
divest,1,1,26377
divide,12,8,26378
divided,10,10,26386
dividing,1,1,26396
divine,6,3,26397
diving,4,2,26400
diving0173,2,2,26402
division,19,12,26404
divisive,5,5,26416
divisiveness,2,2,26421
divorce,1,1,26423
divvy,1,1,26424
djerba,1,1,26425
djw,2,2,26426
dkt,1,1,26428
dlr,62,24,26429
dna,4,2,26453
doc,21,6,26455
dock,4,4,26461
docked,1,1,26465
doctor,70,12,26466
doctrine,1,1,26478
document,32,18,26479
documentary,1,1,26497
documented,1,1,26498
doe,63,47,26499
doesnt,18,15,26546
dog,4,4,26561
dogfight,2,2,26565
dogged,2,2,26567
dogma,1,1,26569
doi,4,2,26570
doing,27,24,26572
doj,2,2,26596
dollar,28,25,26598
dome,2,1,26623
domestic,32,27,26624
dominance,2,2,26651
dominant,10,7,26653
dominate,3,3,26660
dominated,14,12,26663
domination,2,2,26675
domingo,1,1,26677
dominica,1,1,26678
dominican,14,4,26679
dominicus,1,1,26683
domino,2,2,26684
don,3,3,26686
donald,4,4,26689
donate,2,1,26693
donated,9,5,26694
donation,6,5,26699
donor,6,4,26704
dont,64,47,26708
donut,1,1,26755
doom,3,3,26756
doomed,2,2,26759
door,18,13,26761
dorado,1,1,26774
dorotic,4,4,26775
dorr,2,2,26779
dorset,1,1,26781
dose,1,1,26782
dotted,1,1,26783
double,1,1,26784
doubled,2,2,26785
doubling,7,5,26787
doubt,16,13,26792
doubted,1,1,26805
dougla,7,7,26806
dow,5,3,26813
down,127,91,26816
downfall,1,1,26907
downgrade,3,3,26908
downloaded,1,1,26911
downstate,2,2,26912
downstream,1,1,26914
downtown,7,5,26915
downturn,1,1,26920
downward,3,3,26921
dozen,41,35,26924
dr,25,16,26959
draft,2,2,26975
drafted,3,3,26977
drag,7,7,26980
dragged,5,5,26987
dragging,1,1,26992
drain,2,2,26993
drainage,1,1,26995
drained,4,4,26996
draining,3,3,27000
dramatic,4,4,27003
drank,1,1,27007
drape,1,1,27008
drastic,2,2,27009
drastically,1,1,27011
draw,10,10,27012
drawing,7,7,27022
drawn,6,6,27029
dread,3,2,27035
dream,7,7,27037
dreamed,2,2,27044
drenched,1,1,27046
drenica,1,1,27047
dress,3,3,27048
dresse,2,2,27051
dressed,5,5,27053
drew,1,1,27058
dried,3,3,27059
drier,1,1,27062
drink,1,1,27063
drinking,9,9,27064
dripping,1,1,27073
drive,8,8,27074
driven,5,5,27082
driver,10,9,27087
driveway,1,1,27096
driving,4,4,27097
drizzle,1,1,27101
drop,12,12,27102
dropoff,2,2,27114
dropout,3,3,27116
dropped,15,15,27119
dropping,6,6,27134
drought,4,3,27140
drove,15,13,27143
drown,1,1,27156
drowned,3,3,27157
drowning,2,2,27160
drug,10,6,27162
drum,2,2,27168
dry,2,2,27170
drying,2,2,27172
duan,1,1,27174
duarte,1,1,27175
dubai,2,2,27176
dubbed,2,2,27178
dubrovnik,4,2,27180
ducking,1,1,27182
dud,1,1,27183
due,15,14,27184
duffy,3,1,27198
dullah,2,2,27199
duly,1,1,27201
duma,6,2,27202
dumped,3,3,27204
dumping,1,1,27207
dunn,1,1,27208
duplication,8,8,27209
duplicitous,2,2,27217
durban,1,1,27219
durbin,1,1,27220
during,130,86,27221
dust,9,4,27307
dusty,1,1,27311
dutch,3,3,27312
dutra,1,1,27315
duty,3,3,27316
dweller,1,1,27319
dwindle,1,1,27320
dwindling,1,1,27321
dwyer,1,1,27322
dying,2,2,27323
dynamic,2,2,27325
ea,1,1,27327
each,51,38,27328
eager,6,5,27366
eagerly,2,2,27371
eagle,1,1,27373
eamon,1,1,27374
eamonn,1,1,27375
eap,1,1,27376
ear,7,7,27377
earl,1,1,27384
earlier,72,61,27385
early,51,37,27446
earn,5,5,27483
earned,8,8,27488
earnest,1,1,27496
earning,10,3,27497
earth,34,10,27500
earthquake,2,2,27510
earthward,1,1,27512
ease,12,12,27513
easier,14,12,27525
easily,3,3,27537
easing,1,1,27540
east,149,46,27541
eastern,31,24,27587
easttimor,5,5,27611
eastward,1,1,27616
easy,8,8,27617
eating,3,3,27625
ebbed,1,1,27628
ecevit,17,6,27629
echo,1,1,27635
echoed,5,5,27636
echoing,2,2,27641
ecija,1,1,27643
ecke,2,1,27644
eckholm,3,3,27645
eclipsing,1,1,27648
econ,12,6,27649
economic,106,43,27655
economist,19,10,27698
economy,56,30,27708
ecuador,2,1,27738
ed,94,94,27739
eddie,2,2,27833
edgar,4,2,27835
edgardo,5,5,27837
edgaro,1,1,27842
edge,5,5,27843
edged,1,1,27848
edgewise,3,2,27849
edging,1,1,27851
edit,16,11,27852
editor,13,10,27863
editorial,13,8,27873
edmund,1,1,27881
eduardo,7,6,27882
educated,1,1,27888
educating,1,1,27889
education,17,12,27890
edward,3,3,27902
effect,27,21,27905
effective,3,2,27926
effectively,4,4,27928
efficient,2,2,27932
effort,86,65,27934
egg,1,1,27999
egregious,2,2,28000
egypt,62,28,28002
egyptian,37,22,28030
egytian,2,2,28052
eichenbaum,2,1,28054
eiffel,1,1,28055
eight,23,20,28056
eighth,2,2,28076
einarsson,2,2,28078
either,28,24,28080
ejected,2,2,28104
ek,2,2,28106
eked,1,1,28108
el,61,13,28109
elaborate,11,11,28122
elblag,2,2,28133
elbow,3,3,28135
elder,1,1,28138
elderly,8,8,28139
elect,14,10,28147
elected,18,15,28157
election,215,63,28172
electioneering,4,4,28235
elections0101,1,1,28239
electoral,13,7,28240
electorate,13,7,28247
electra,5,1,28254
electric,1,1,28255
electrical,12,9,28256
electrically,1,1,28265
electrician,4,4,28266
electricity,8,5,28270
electrocuted,3,3,28275
electromagnetic,1,1,28278
electronic,10,9,28279
electrostatic,1,1,28288
elegant,1,1,28289
element,5,4,28290
elementary,2,2,28294
elevating,6,6,28296
eliad,1,1,28302
eligibility,5,5,28303
eligible,12,12,28308
eliminate,3,3,28320
eliminated,5,5,28323
eliminating,1,1,28328
eliot,4,2,28329
elisabeth,2,2,28331
elite,1,1,28333
elizabeth,1,1,28334
ellen,2,2,28335
elliptical,1,1,28337
elpidio,1,1,28338
else,14,11,28339
elsewhere,8,8,28350
eluded,1,1,28358
elusive,1,1,28359
emanated,2,2,28360
emanating,1,1,28362
embargo,14,9,28363
embarked,1,1,28372
embarrassed,4,4,28373
embarrassing,5,5,28377
embarrassment,3,3,28382
embassy,136,28,28385
embassybombing,1,1,28413
embattled,1,1,28414
embedded,1,1,28415
embolden,2,2,28416
emboldened,2,2,28418
embrace,1,1,28420
embraced,5,5,28421
embracing,3,3,28426
embroiled,3,3,28429
emerge,5,5,28432
emerged,10,10,28437
emergence,2,2,28447
emergency,40,25,28449
emerging,12,11,28474
emigre,1,1,28485
emily,1,1,28486
emir,1,1,28487
emirate,4,2,28488
emissary,1,1,28490
emit,1,1,28491
emitted,1,1,28492
emitting,1,1,28493
emotion,4,4,28494
emotional,3,3,28498
emphasi,4,4,28501
emphasizing,1,1,28505
emphatically,1,1,28506
empire,2,1,28507
employ,1,1,28508
employed,3,3,28509
employee,27,20,28512
employment,2,1,28532
emptive,1,1,28533
empty,13,11,28534
en,4,4,28545
enable,6,6,28549
enabling,2,2,28555
enact,1,1,28557
enacted,1,1,28558
enactment,1,1,28559
enclave,1,1,28560
encounter,4,4,28561
encountered,2,2,28565
encourage,4,4,28567
encouraged,4,3,28571
encouraging,2,2,28574
encrusted,1,1,28576
end,118,87,28577
endangered,3,2,28664
endangering,3,2,28666
ended,26,24,28668
enderle,2,2,28692
endgame,1,1,28694
ending,4,4,28695
endless,3,3,28699
endorse,1,1,28702
endorsed,6,6,28703
endorsement,5,3,28709
endurance,1,1,28712
endure,3,3,28713
endured,10,10,28716
enduring,2,2,28726
enea,2,2,28728
enemy,13,12,28730
energize,1,1,28742
energy,3,3,28743
enforce,1,1,28746
enforced,2,2,28747
enforcement,16,12,28749
engage,1,1,28761
engaged,5,5,28762
engine,5,3,28767
engineer,8,8,28770
engineering,3,3,28778
england,10,7,28781
english,8,6,28788
engulfed,4,4,28794
enhance,2,2,28798
enhanced,2,2,28800
enhancement,1,1,28802
enjoy,4,4,28803
enjoyed,3,3,28807
enjoying,1,1,28810
enjoyment,3,3,28811
enlargement,1,1,28814
enlisted,1,1,28815
enmity,2,2,28816
enormous,5,5,28818
enough,55,45,28823
enqelab,1,1,28868
