term,cf,df,offset
0857,1,1,545
085800,2,2,546
0858est,2,2,548
0859,1,1,550
0863,1,1,551
0877,1,1,552
0880,1,1,553
0882,1,1,554
0887,1,1,555
0890,1,1,556
0895,1,1,557
09,9,3,558
0902,1,1,561
090400,1,1,562
0904est,1,1,563
090500,1,1,564
0905est,1,1,565
090800,2,2,566
0908edt,1,1,568
0908est,1,1,569
0910,1,1,570
091000,1,1,571
0910est,1,1,572
091200,1,1,573
0912edt,1,1,574
0913,2,2,575
091400,1,1,577
0914est,1,1,578
091500,1,1,579
0915edt,1,1,580
091600,1,1,581
0916est,1,1,582
091800,2,2,583
0918est,2,2,585
0919,1,1,587
091900,1,1,588
0919est,1,1,589
092,1,1,590
0920,2,2,591
092000,2,2,593
0920edt,1,1,595
0920est,1,1,596
092100,1,1,597
0921est,1,1,598
092200,2,2,599
0922edt,1,1,601
0922est,1,1,602
092300,1,1,603
0923est,1,1,604
092400,1,1,605
0924edt,1,1,606
0930,1,1,607
093400,3,3,608
0934est,3,3,611
0938,2,2,614
094400,1,1,616
0944est,1,1,617
095800,1,1,618
0958edt,1,1,619
095900,1,1,620
0959est,1,1,621
0973,2,2,622
0988,1,1,624
0998,1,1,625
10,518,196,626
100,30,27,822
1000,6,5,849
10000,11,11,854
100000,15,13,865
10021998,1,1,878
10025,1,1,879
10031998,14,14,880
10041998,8,8,894
10051998,3,3,902
10061998,2,2,905
10081998,1,1,907
101,1,1,908
10101998,1,1,909
10121998,1,1,910
10141998,3,3,911
10161998,1,1,914
101700,1,1,915
10171998,4,4,916
1017est,1,1,920
10181998,2,2,921
1019,1,1,923
102,6,6,924
10201998,1,1,930
1021,1,1,931
10211998,2,2,932
10221998,1,1,934
10231998,3,3,935
10241998,4,4,938
10251998,8,8,942
10261998,3,3,950
10271998,2,2,953
10281998,2,2,955
102900,1,1,957
10291998,2,2,958
1029edt,1,1,960
103,7,7,961
1030,2,2,968
10301998,4,4,970
10311998,4,4,974
1034,1,1,978
1034edt,1,1,979
1035,1,1,980
1036,26,26,981
10375,1,1,1007
1038,1,1,1008
1038est,1,1,1009
1039,1,1,1010
1039est,1,1,1011
104,5,5,1012
1045,2,2,1017
1046,1,1,1019
1047,1,1,1020
105,2,2,1021
106,4,4,1023
1061,1,1,1027
1064,1,1,1028
1066,1,1,1029
1081,1,1,1030
109,2,2,1031
1093,1,1,1033
1097,1,1,1034
10th,7,5,1035
10thld,2,2,1040
11,267,130,1042
110,4,4,1172
1100,4,4,1176
11011998,3,3,1180
1102,1,1,1183
11021998,1,1,1184
11031998,1,1,1185
11041998,7,7,1186
11051998,3,3,1193
11061998,7,7,1196
11071998,5,5,1203
1109,3,3,1208
1109edt,1,1,1211
111,14,10,1212
11101998,2,2,1222
11111998,1,1,1224
11121998,2,2,1225
11131998,3,3,1227
111400,1,1,1230
11141998,1,1,1231
1114est,1,1,1232
11151998,1,1,1233
1116,1,1,1234
11161998,1,1,1235
11171998,3,3,1236
111900,1,1,1239
11191998,1,1,1240
1119est,1,1,1241
112,2,2,1242
1120,2,2,1244
11201998,1,1,1246
1121,2,2,1247
112100,2,2,1249
1121est,2,2,1251
1122,1,1,1253
112200,1,1,1254
11221998,3,3,1255
1122edt,1,1,1258
1122est,1,1,1259
1123,1,1,1260
11231998,6,6,1261
1123edt,1,1,1267
11241998,3,3,1268
11251998,7,7,1271
11261998,3,3,1278
11291998,3,3,1281
113,1,1,1284
11301998,2,2,1285
113500,1,1,1287
1135edt,1,1,1288
113700,2,2,1289
1137est,2,2,1291
1138,1,1,1293
114,1,1,1294
1143,2,2,1295
1143edt,1,1,1297
114500,2,2,1298
1145edt,1,1,1300
1145est,1,1,1301
114700,1,1,1302
1147est,1,1,1303
1148,1,1,1304
114800,1,1,1305
1148est,1,1,1306
115400,1,1,1307
1154est,1,1,1308
115500,1,1,1309
1155edt,1,1,1310
115700,1,1,1311
1157est,1,1,1312
115800,1,1,1313
1158est,1,1,1314
115900,1,1,1315
1159est,1,1,1316
1163,1,1,1317
1165,1,1,1318
11851,1,1,1319
11th,1,1,1320
12,142,73,1321
120,3,3,1394
1200,6,5,1397
12000,1,1,1402
1201,3,3,1403
120100,1,1,1406
1201edt,1,1,1407
120200,1,1,1408
12021998,4,4,1409
1202est,1,1,1413
1203,1,1,1414
12031998,4,4,1415
1203est,1,1,1419
12041998,1,1,1420
12051998,3,3,1421
120600,1,1,1424
12061998,4,4,1425
1206est,1,1,1429
12081998,4,4,1430
1210,1,1,1434
1210edt,1,1,1435
121100,1,1,1436
1211est,1,1,1437
1212,1,1,1438
121500,2,2,1439
1215edt,2,2,1441
12161998,1,1,1443
1218,1,1,1444
121800,1,1,1445
1218est,1,1,1446
1219,2,2,1447
122000,1,1,1449
12201998,1,1,1450
1220edt,1,1,1451
122100,1,1,1452
1221edt,1,1,1453
122500,1,1,1454
1225est,1,1,1455
12291998,2,2,1456
1230,1,1,1458
123000,1,1,1459
12301998,2,2,1460
1230edt,1,1,1462
123100,1,1,1463
12311998,1,1,1464
1231est,1,1,1465
1234,2,2,1466
123400,1,1,1468
1234edt,1,1,1469
123500,1,1,1470
1235est,1,1,1471
1236,1,1,1472
1240,1,1,1473
1240524,2,2,1474
124300,1,1,1476
1243est,1,1,1477
124800,1,1,1478
1248edt,1,1,1479
124900,1,1,1480
1249est,1,1,1481
125,1,1,1482
125400,1,1,1483
1254est,1,1,1484
1258,3,3,1485
1258edt,1,1,1488
125900,1,1,1489
1259edt,1,1,1490
127,1,1,1491
1288,1,1,1492
129,4,2,1493
12986,1,1,1495
12th,2,2,1496
13,49,37,1498
130,5,5,1535
13000,2,2,1540
130300,1,1,1542
1303edt,1,1,1543
1309,1,1,1544
1309edt,1,1,1545
131,1,1,1546
1318,1,1,1547
1318est,1,1,1548
132,1,1,1549
133,1,1,1550
134,3,3,1551
1346,2,2,1554
1346edt,2,2,1556
135,4,3,1558
13500,1,1,1561
1358,1,1,1562
1358edt,1,1,1563
1359,1,1,1564
137,1,1,1565
137000,1,1,1566
1389,1,1,1567
1393,1,1,1568
13th,6,5,1569
14,52,38,1574
140,1,1,1612
1400,1,1,1613
140200,1,1,1614
1402edt,1,1,1615
142500,1,1,1616
1425est,1,1,1617
142600,1,1,1618
1426est,1,1,1619
142700,1,1,1620
1427est,1,1,1621
143,1,1,1622
1430,2,1,1623
143000,1,1,1624
1430est,1,1,1625
145100,1,1,1626
1451est,1,1,1627
